Generation,Bloc,Macro,Image,Total_surface,B,H,P,P_black,obs_count
11,4,MacroG13,3PL5_8.tiff,1618737,1505471,33527,79739,0.704,NA
11,4,MacroG13,3PL5_10.tiff,1630760,1501540,62863,66357,0.514,NA
11,4,MacroG13,2PS6_12.tiff,1765907,1660563,36061,69283,0.658,NA
11,4,MacroG13,2PS5_4.tiff,1725295,1605980,36827,82488,0.691,NA
11,4,MacroG13,3PL5_4.tiff,1540448,1406745,40770,92933,0.695,NA
11,4,MacroG13,2PS6_1.tiff,1598220,1480300,71724,46196,0.392,NA
11,4,MacroG13,1PS6_3.tiff,1746765,1621142,51071,74552,0.593,NA
11,4,MacroG13,3PL6_1.tiff,1603584,1476646,66873,60065,0.473,NA
11,4,MacroG13,1PS6_2.tiff,1800560,1671980,36208,92372,0.718,NA
11,4,MacroG13,3PL6_0.tiff,1368640,1249767,94605,24268,0.204,NA
11,4,MacroG13,2PS6_0.tiff,1619360,1523502,23353,72505,0.756,NA
11,4,MacroG13,3PL5_5.tiff,1500660,1368892,42224,89544,0.68,NA
11,4,MacroG13,2PS5_5.tiff,1573524,1461601,40713,71210,0.636,NA
11,4,MacroG13,2PS6_13.tiff,1640082,1518988,116866,4228,0.035,NA
11,4,MacroG13,3PL5_11.tiff,1722240,1602790,29294,90156,0.755,NA
11,4,MacroG13,3PL5_9.tiff,1774068,1666835,30003,77230,0.72,NA
11,4,MacroG13,2PS5_9.tiff,1674640,1556590,76239,41811,0.354,NA
11,4,MacroG13,2PL5_3.tiff,1716852,1607403,33481,75968,0.694,NA
11,4,MacroG13,2PL5_8.tiff,1498296,1387565,45244,65487,0.591,NA
11,4,MacroG13,2PS5_2.tiff,1617975,1504324,40859,72792,0.64,NA
11,4,MacroG13,3PL6_10.tiff,1540616,1427593,23048,89975,0.796,NA
11,4,MacroG13,3PL5_2.tiff,1535248,1428249,33613,73386,0.686,NA
11,4,MacroG13,2PS6_7.tiff,1644070,1531703,39359,73008,0.65,NA
11,4,MacroG13,3PL6_7.tiff,1467485,1360931,38866,67688,0.635,NA
11,4,MacroG13,1PS6_5.tiff,1680990,1555879,63462,61649,0.493,NA
11,4,MacroG13,2PL5_4.tiff,1548274,1399563,47412,101299,0.681,NA
11,4,MacroG13,1PS6_8.tiff,1482240,1382593,98102,1545,0.016,NA
