Mix,Treatment,Replicate,Bloc,Location,Generation,Fecundity
2,control,4,3,core,4,51
2,control,4,3,core,4,0
2,control,4,3,core,4,0
2,control,4,3,core,4,43
2,control,4,3,core,4,40
2,control,4,3,core,4,24
2,control,4,3,core,4,35
2,control,4,3,core,4,35
2,control,4,3,core,4,48
2,control,4,3,core,4,47
3,control,4,3,core,4,47
3,control,4,3,core,4,44
3,control,4,3,core,4,43
3,control,4,3,core,4,49
3,control,4,3,core,4,52
3,control,4,3,core,4,50
3,control,4,3,core,4,25
3,control,4,3,core,4,46
3,control,4,3,core,4,41
3,control,4,3,core,4,60
3,restricted connectedness,4,3,front,4,37
3,restricted connectedness,4,3,front,4,45
3,restricted connectedness,4,3,front,4,51
3,restricted connectedness,4,3,front,4,34
3,restricted connectedness,4,3,front,4,36
3,restricted connectedness,4,3,front,4,30
3,restricted connectedness,4,3,front,4,48
3,restricted connectedness,4,3,front,4,45
3,restricted connectedness,4,3,front,4,30
3,restricted connectedness,4,3,front,4,36
3,restricted connectedness,4,3,core,4,45
3,restricted connectedness,4,3,core,4,49
3,restricted connectedness,4,3,core,4,46
3,restricted connectedness,4,3,core,4,55
3,restricted connectedness,4,3,core,4,50
3,restricted connectedness,4,3,core,4,44
3,restricted connectedness,4,3,core,4,47
3,restricted connectedness,4,3,core,4,45
3,restricted connectedness,4,3,core,4,46
3,restricted connectedness,4,3,core,4,43
2,control,4,3,front,4,58
2,control,4,3,front,4,36
2,control,4,3,front,4,55
2,control,4,3,front,4,45
2,control,4,3,front,4,38
2,control,4,3,front,4,36
2,control,4,3,front,4,19
2,control,4,3,front,4,25
2,control,4,3,front,4,42
2,control,4,3,front,4,41
3,restricted connectedness,5,3,core,4,50
3,restricted connectedness,5,3,core,4,51
3,restricted connectedness,5,3,core,4,32
3,restricted connectedness,5,3,core,4,40
3,restricted connectedness,5,3,core,4,53
3,restricted connectedness,5,3,core,4,44
3,restricted connectedness,5,3,core,4,40
3,restricted connectedness,5,3,core,4,22
3,restricted connectedness,5,3,core,4,40
3,restricted connectedness,5,3,core,4,38
1,control,5,3,core,4,0
1,control,5,3,core,4,34
1,control,5,3,core,4,0
1,control,5,3,core,4,59
1,control,5,3,core,4,49
1,control,5,3,core,4,44
1,control,5,3,core,4,0
1,control,5,3,core,4,38
1,control,5,3,core,4,27
1,control,5,3,core,4,45
1,control,5,3,front,4,43
1,control,5,3,front,4,0
1,control,5,3,front,4,36
1,control,5,3,front,4,40
1,control,5,3,front,4,39
1,control,5,3,front,4,27
1,control,5,3,front,4,38
1,control,5,3,front,4,41
